fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Type,quality
7.39926,0.964904,0,2.20011,0.087996,16.0008,31.9984,0.99746,3.580179,0.669933,10.20102,White,5
12.29877,0.389961,0.630032,2.300115,0.090995,6.0003,17.9991,1.0003,3.160158,0.489951,9.50095,White,5
6.39936,0.269973,0.490025,7.300365,0.045998,53.00265,205.9897,0.9955,3.240162,0.429957,9.20092,Red,6
7.39926,0.189981,0.300015,12.80064,0.052997,48.502425,228.98855,0.9985,3.140157,0.489951,9.10091,Red,7
6.19938,0.339966,0.300015,11.100555,0.046998,28.0014,236.98815,0.998,3.180159,0.489951,8.70087,Red,5
4.9995,0.609939,0.120006,1.300065,0.009,65.00325,99.995,0.987301,3.260163,0.369963,13.50135,Red,5
7.29927,0.409959,0.290015,1.80009,0.031998,26.0013,73.9963,0.988791,2.960148,0.349965,13.0013,Red,8
6.59934,0.229977,0.180009,8.500425,0.043998,59.00295,187.9906,0.99548,3.160158,0.489951,9.50095,Red,5
5.9994,0.359964,0.160008,6.300315,0.035998,36.0018,190.99045,0.994101,3.170159,0.619938,9.80098,Red,5
6.59934,0.209979,0.290015,5.350268,0.028999,43.00215,105.9947,0.991021,2.930147,0.429957,11.50115,Red,7
10.59894,0.279972,0.39002,15.500775,0.068997,6.0003,22.99885,1.0025,3.120156,0.659934,9.20092,White,5
7.69923,0.389961,0.280014,4.900245,0.034998,36.0018,108.99455,0.991701,3.19016,0.579942,12.20122,Red,7
7.49925,0.229977,0.360018,7.00035,0.035998,43.00215,160.99195,0.993701,3.040152,0.319968,11.0011,Red,5
9.09909,0.279972,0.460023,9.00045,0.113994,3.00015,8.99955,0.99891,3.180159,0.59994,10.90109,White,6
6.69933,0.179982,0.280014,10.20051,0.038998,29.00145,114.99425,0.994591,3.110156,0.449955,10.90109,Red,7
7.39926,0.489951,0.270014,2.100105,0.070996,14.0007,24.99875,0.993781,3.350168,0.629937,12.0012,White,6
5.89941,0.169983,0.280014,0.700035,0.026999,5.00025,27.9986,0.989751,3.130157,0.319968,10.60106,Red,5
8.49915,0.219978,0.340017,0.700035,0.039998,5.00025,24.99875,0.991701,3.040152,0.369963,10.50105,Red,4
7.69923,0.419958,0.380019,8.100405,0.060997,49.00245,143.9928,0.9965,3.40017,0.579942,11.0011,Red,6
6.59934,0.149985,0.340017,5.100255,0.054997,34.0017,124.99375,0.994101,3.360168,0.419958,9.60096,Red,5
7.29927,0.269973,0.300015,1.300065,0.039998,26.0013,83.9958,0.992121,3.280164,0.529947,10.70107,Red,6
7.29927,0.219978,0.490025,9.900495,0.030998,48.0024,160.99195,0.993601,3.010151,0.279972,11.20112,Red,6
6.29937,0.19998,0.260013,12.700635,0.045998,60.003,142.99285,0.99516,3.260163,0.349965,10.80108,Red,6
9.29907,0.714929,0.240012,2.100105,0.069997,5.00025,19.999,0.9965,3.120156,0.589941,9.90099,White,5
6.39936,0.279972,0.220011,12.80064,0.038998,51.00255,149.9925,0.99525,3.230162,0.429957,10.70107,Red,6
6.59934,0.229977,0.300015,14.900745,0.050997,33.00165,117.9941,0.99825,3.040152,0.539946,9.0009,Red,6
6.09939,0.159984,0.240012,1.40007,0.045998,17.00085,76.99615,0.993091,3.660183,0.569943,10.30103,Red,6
6.59934,0.129987,0.300015,4.900245,0.057997,47.00235,130.99345,0.994501,3.510176,0.449955,10.30103,Red,6
7.79922,0.609939,0.290015,1.60008,0.113994,9.00045,28.99855,0.9973,3.260163,1.559844,9.10091,White,5
6.69933,0.229977,0.330017,8.100405,0.047998,45.00225,175.9912,0.994621,3.110156,0.519948,10.10101,Red,6
8.89911,0.269973,0.340017,10.700535,0.028999,19.500975,165.9917,0.99659,3.130157,0.479952,10.60106,Red,5
7.69923,0.389961,0.340017,10.0005,0.055997,35.00175,177.9911,0.9973,3.260163,0.59994,10.20102,Red,5
9.19908,0.409959,0.500025,2.500125,0.054997,12.0006,24.99875,0.9951,3.340167,0.789921,13.30133,White,7
7.59924,0.229977,0.340017,1.60008,0.042998,24.0012,128.99355,0.992951,3.120156,0.69993,10.40104,Red,5
8.29917,0.259974,0.370019,1.40007,0.075996,8.0004,22.99885,0.9973,3.260163,0.69993,,White,6
6.69933,0.674933,0.070004,2.40012,0.088996,17.00085,81.9959,0.9957,3.350168,0.539946,10.10101,White,5
6.69933,0.159984,0.370019,1.300065,0.035998,45.00225,124.99375,0.989541,3.19016,0.509949,12.40124,Red,7
7.79922,0.629937,0.480024,1.700085,0.099995,14.0007,95.9952,0.996,3.19016,0.619938,9.50095,White,5
7.19928,0.279972,0.380019,2.0001,0.051997,23.00115,155.9922,0.991101,3.130157,0.519948,11.10111,Red,5
6.39936,0.229977,0.270014,2.100105,0.041998,35.00175,99.995,0.990841,3.030152,0.629937,10.90109,Red,6
5.69943,0.264974,0.280014,6.900345,0.035998,46.0023,149.9925,0.992891,3.360168,0.439956,10.80108,Red,7
6.59934,0.559944,0.160008,3.100155,0.044998,28.0014,91.9954,0.993901,3.120156,0.349965,9.10091,Red,6
6.79932,0.179982,0.370019,1.500075,0.026999,37.00185,92.99535,0.991901,3.300165,0.449955,10.80108,Red,6
7.19928,0.19998,0.250013,4.500225,0.043998,31.00155,108.99455,0.994801,3.230162,0.359964,9.40094,Red,5
5.39946,0.449955,0.270014,6.40032,0.032998,20.001,101.9949,0.989341,3.220161,0.269973,13.40134,Red,8
8.19918,0.279972,0.40002,2.40012,0.051997,4.0002,9.9995,0.993461,3.330167,0.69993,12.80128,White,7
5.79942,0.389961,0.470024,7.500375,0.026999,12.0006,87.9956,0.990601,3.380169,0.449955,14.0014,Red,6
5.89941,0.179982,0.280014,5.100255,0.038998,50.0025,138.99305,0.991551,3.160158,0.439956,11.30113,Red,6
6.29937,0.479952,0.040002,1.100055,0.045998,30.0015,98.99505,0.992701,3.240162,0.359964,9.60096,Red,6
6.39936,0.289971,0.20001,15.60078,0.039998,20.001,141.9929,0.9961,3.100155,0.539946,10.60106,Red,5
7.49925,0.529947,0.060003,2.60013,0.085996,20.001,43.9978,0.9964,3.380169,0.589941,10.70107,White,6
7.59924,0.209979,0.60003,2.100105,0.045998,47.00235,164.99175,0.993501,3.050153,0.539946,10.10101,Red,7
7.29927,0.219978,0.410021,15.40077,0.049998,55.00275,190.99045,0.9999,3.320166,0.589941,8.90089,Red,6
